Fiscal Year,Requests Accepted,Requests Rejected,Requests Received,Average Requests Accepted Per Day,Approved,Denied,Pending
2012,152431,5395,157826,3629,1680,0,150751
2013,427617,16350,443967,1697,470348,10968,97028
2014,238900,24887,263787,952,158331,20990,156540
2014 Initial,122460,19064,141524,488,136101,20987,62335
2014 Renewal,116440,5823,122263,464,22230,3,94205
2015,448857,35474,484331,1781,509962,21352,73909
2015 Initial,85304,7150,92454,338,90629,19070,37866
2015 Renewal,363553,28324,391877,1443,419333,2282,36043
2016,260701,12317,273018,1035,198541,14434,120712
2016 Initial,73350,1151,74501,291,52708,11396,46242
2016 Renewal,187351,11166,198517,744,145833,3038,74470
2017,472852,43453,516305,1884,462357,13318,117493
2017 Initial,45645,42,45687,182,47298,9250,35231
2017 Renewal,427207,43411,470618,1702,415059,4068,82262
2018,94021,20773,114794,758,153764,6480,51118
2018 Initial,164,1,165,1,15294,3839,16252
2018 Renewal,93857,20772,114629,757,138470,2641,34866
